Date,Timestamp,Open,High,Low,Close,Volume
20210302,05:00:00,1.39209,1.39285,1.39162,1.39213,3185.8399958387
20210302,06:00:00,1.39215,1.39276,1.39173,1.39247,1228.23499950767
20210302,07:00:00,1.39241,1.39279,1.39199,1.39251,629.380002498627
20210302,08:00:00,1.39252,1.39298,1.39205,1.39285,1167.62999863178
20210302,09:00:00,1.39285,1.39318,1.39224,1.39281,1814.7700008601
20210302,10:00:00,1.3928,1.3929,1.39015,1.39063,3406.51000650972
20210302,11:00:00,1.3906,1.3912,1.38714,1.38819,3154.06000263989
20210302,12:00:00,1.38817,1.38951,1.388,1.38915,3382.16000204533
20210302,13:00:00,1.38912,1.38935,1.387,1.38701,2817.54000068456
20210302,14:00:00,1.38703,1.38869,1.38658,1.38816,2797.07000288367
20210302,15:00:00,1.38815,1.38945,1.38767,1.38877,2178.78000164777
20210302,16:00:00,1.38881,1.38884,1.38678,1.38786,5236.69999848306
20210302,17:00:00,1.38787,1.39017,1.38734,1.38782,6717.31999962032
20210302,18:00:00,1.38783,1.38783,1.38587,1.38663,6885.46999508888
20210302,19:00:00,1.38661,1.38974,1.38588,1.38923,5822.94000279158
20210302,20:00:00,1.38924,1.39283,1.38916,1.39269,5198.22000405192
20210302,21:00:00,1.3927,1.39286,1.39123,1.39286,3993.72000271082
20210302,22:00:00,1.39284,1.39286,1.3896,1.39111,6282.69998971373
20210302,23:00:00,1.39108,1.39344,1.39094,1.3931,8317.47000030428
20210303,00:00:00,1.3931,1.39515,1.39124,1.39478,8375.09000452608
20210303,01:00:00,1.39478,1.39627,1.39414,1.39612,8272.38000017405
20210303,02:00:00,1.39611,1.397,1.39598,1.39677,3499.40000379831
20210303,03:00:00,1.39676,1.3975,1.39675,1.39741,2677.73000220954
20210303,04:00:00,1.39742,1.39768,1.39559,1.39637,2912.28999856114
20210303,05:00:00,1.39642,1.39715,1.39639,1.3966,2329.00000198931
20210303,06:00:00,1.3966,1.39665,1.39504,1.39516,2034.27000077069
20210303,07:00:00,1.39515,1.39629,1.39468,1.39549,1726.77271478251
20210303,08:00:00,1.39546,1.39577,1.39496,1.39536,1902.25000018626
20210303,09:00:00,1.39542,1.396,1.39498,1.3957,1265.8799982816
20210303,10:00:00,1.3957,1.39659,1.3955,1.39608,2110.71000407636
20210303,11:00:00,1.39607,1.39617,1.39535,1.39599,1587.98000283539
20210303,12:00:00,1.39599,1.39649,1.39557,1.39622,2062.45000185072
20210303,13:00:00,1.39624,1.39658,1.39552,1.39556,1754.64000061899
20210303,14:00:00,1.39554,1.39592,1.39489,1.39518,1490.62000322342
20210303,15:00:00,1.39521,1.39602,1.39368,1.39545,1893.06000220776
20210303,16:00:00,1.39541,1.39884,1.39498,1.39811,4319.55000336468
20210303,17:00:00,1.39809,1.39834,1.39581,1.39618,6276.2799975127
20210303,18:00:00,1.39616,1.40061,1.39609,1.39816,7182.09999366105
20210303,19:00:00,1.39815,1.39878,1.39701,1.39821,5305.27000044286
20210303,20:00:00,1.39821,1.39842,1.39458,1.39523,5076.489995718
20210303,21:00:00,1.39526,1.39773,1.39442,1.39669,4683.56000110507
20210303,22:00:00,1.39669,1.39742,1.39419,1.39703,11826.0599864721
20210303,23:00:00,1.39704,1.39724,1.39445,1.39496,12927.4699990675
20210304,00:00:00,1.39498,1.39781,1.39207,1.39742,15479.1299930811
20210304,01:00:00,1.3974,1.39915,1.397,1.39776,10706.2399891838
20210304,02:00:00,1.39777,1.39812,1.39533,1.39708,6900.72999928147
20210304,03:00:00,1.3971,1.39843,1.39609,1.39698,5777.05999605358
20210304,04:00:00,1.39696,1.39706,1.39546,1.3956,5043.21999634802
20210304,05:00:00,1.39559,1.39661,1.39508,1.39517,4291.21999897063
20210304,06:00:00,1.39515,1.39539,1.39466,1.39486,921.710001081228
20210304,07:00:00,1.39478,1.39579,1.39467,1.39486,4706.91400714684
20210304,08:00:00,1.39487,1.39531,1.39208,1.39208,2241.06000253558
20210304,09:00:00,1.39208,1.39419,1.39208,1.39407,2243.87000117451
20210304,10:00:00,1.39408,1.39439,1.39285,1.39411,2672.55000045151
20210304,11:00:00,1.39412,1.39431,1.39316,1.39369,2455.93000461161
20210304,12:00:00,1.39368,1.39442,1.39338,1.39381,1821.14999932796
20210304,13:00:00,1.39381,1.39523,1.39318,1.39516,3622.13000138104
20210304,14:00:00,1.39515,1.39607,1.39495,1.39549,2949.24000374228
20210304,15:00:00,1.39549,1.39642,1.39474,1.3961,2683.8000049293
20210304,16:00:00,1.39609,1.39682,1.39502,1.39552,4601.22000695765
20210304,17:00:00,1.39552,1.3965,1.39282,1.39377,8906.88000163436
20210304,18:00:00,1.39378,1.39437,1.39159,1.39285,6333.11000051349
20210304,19:00:00,1.39288,1.39449,1.39204,1.39447,7533.08000472933
20210304,20:00:00,1.39447,1.39512,1.3924,1.39381,7170.33998965472
20210304,21:00:00,1.39383,1.39506,1.39377,1.39484,6431.15000034869
20210304,22:00:00,1.39482,1.39723,1.39447,1.39618,7101.85000040382
20210304,23:00:00,1.39617,1.39822,1.39558,1.39785,9104.24999989569
20210305,00:00:00,1.39784,1.39983,1.39666,1.39912,12249.8299958259
20210305,01:00:00,1.39913,1.40171,1.39806,1.39977,9380.62000403553
20210305,02:00:00,1.39976,1.40038,1.39218,1.39233,17799.6299964488
20210305,03:00:00,1.39227,1.39381,1.38833,1.38865,12880.9299997017
20210305,04:00:00,1.38865,1.39101,1.38849,1.38872,8247.33999798447
20210305,05:00:00,1.38873,1.38934,1.38801,1.38891,5972.18500012904
20210305,06:00:00,1.38888,1.38968,1.3888,1.38938,2263.84500091523
20210305,07:00:00,1.38927,1.38982,1.38927,1.38953,3177.27420873009
20210305,08:00:00,1.38954,1.38955,1.38831,1.38933,2511.39000125229
20210305,09:00:00,1.3893,1.3897,1.38831,1.38923,2682.55000025034
20210305,10:00:00,1.38923,1.38931,1.38671,1.38816,3399.25999971479
20210305,11:00:00,1.38815,1.38967,1.38718,1.38945,2503.03000133485
20210305,12:00:00,1.38943,1.39062,1.38913,1.39049,3359.9500002265
20210305,13:00:00,1.39049,1.39053,1.38835,1.38841,2176.35000043362
20210305,14:00:00,1.3884,1.38914,1.3878,1.38858,2534.00000061095
20210305,15:00:00,1.38858,1.38901,1.3877,1.38841,1904.68000016361
20210305,16:00:00,1.38841,1.38886,1.386,1.38716,5646.1200088039
20210305,17:00:00,1.38715,1.38751,1.38369,1.38391,9718.99000554532
20210305,18:00:00,1.38391,1.38452,1.38118,1.38193,9438.38999868929
20210305,19:00:00,1.38193,1.38236,1.37916,1.37984,6327.05000202358
20210305,20:00:00,1.37984,1.38291,1.37883,1.38151,7411.14000299573
20210305,21:00:00,1.3815,1.38315,1.381,1.38266,6034.67000382394
20210305,22:00:00,1.38267,1.38375,1.37784,1.38255,18610.3899915293
20210305,23:00:00,1.38254,1.38696,1.38019,1.38165,17494.5599850491
20210306,00:00:00,1.38159,1.38375,1.38067,1.38161,17220.3499930725
20210306,01:00:00,1.38157,1.38241,1.37942,1.38166,11629.9599951133
20210306,02:00:00,1.38163,1.38253,1.38055,1.38245,7046.14000275731
20210306,03:00:00,1.38245,1.38391,1.38212,1.38363,4318.95000459999
20210306,04:00:00,1.38365,1.38464,1.38301,1.38412,2936.43999938667
20210306,05:00:00,1.38413,1.38536,1.3836,1.38464,2087.9350033626
20210306,06:00:00,1.38463,1.38469,1.38215,1.38357,8020.64005899429
20210308,07:00:00,1.38114,1.38458,1.38059,1.38388,6375.31970473751
20210308,08:00:00,1.38405,1.38654,1.38387,1.38505,8453.50000531226
20210308,09:00:00,1.38505,1.3859,1.38383,1.38531,2377.27000205964
20210308,10:00:00,1.38529,1.38579,1.3843,1.38499,2944.1400006488
20210308,11:00:00,1.38499,1.3853,1.38162,1.38223,3121.75000093877
20210308,12:00:00,1.38225,1.38257,1.38099,1.38117,2436.87000245601
20210308,13:00:00,1.38119,1.38243,1.38087,1.38235,2123.11999956518
20210308,14:00:00,1.38236,1.38347,1.38236,1.38341,2835.47000206262
20210308,15:00:00,1.3834,1.38393,1.381,1.38124,2508.18000210077
20210308,16:00:00,1.38123,1.38203,1.37999,1.38174,4487.77000499517
20210308,17:00:00,1.3818,1.38462,1.38125,1.38191,7560.64000432193
20210308,18:00:00,1.38193,1.38376,1.38067,1.38307,6506.67000584304
20210308,19:00:00,1.38309,1.38522,1.38194,1.38436,4849.49000247568
20210308,20:00:00,1.38438,1.38461,1.38232,1.38345,5359.10000216216
20210308,21:00:00,1.38342,1.3839,1.38138,1.38238,6484.82000410557
20210308,22:00:00,1.38236,1.38562,1.38229,1.38492,8355.09001178294
20210308,23:00:00,1.38493,1.38544,1.38216,1.3828,10983.1400032714
20210309,00:00:00,1.3828,1.38412,1.38058,1.38114,13825.3500074595
20210309,01:00:00,1.38118,1.38209,1.38028,1.38086,8809.88000953943
20210309,02:00:00,1.38087,1.38384,1.38085,1.38382,5761.74000699073
20210309,03:00:00,1.38381,1.38469,1.38297,1.3835,5354.87000124902
20210309,04:00:00,1.38349,1.384,1.38258,1.3837,4551.57000686228
20210309,05:00:00,1.38369,1.38371,1.38175,1.38177,4249.61500371248
20210309,06:00:00,1.38174,1.38236,1.38145,1.38183,1368.58000139147
20210309,07:00:00,1.38172,1.38238,1.38125,1.38159,850.016806151718
20210309,08:00:00,1.38158,1.38268,1.38158,1.38212,875.859997540712
20210309,09:00:00,1.38213,1.38246,1.38016,1.38165,3127.67000065744
20210309,10:00:00,1.38161,1.38248,1.38028,1.38069,3399.02999585867
20210309,11:00:00,1.38069,1.38353,1.38068,1.38338,4041.36999982595
20210309,12:00:00,1.38342,1.38501,1.383,1.38464,3122.39999786764
20210309,13:00:00,1.38466,1.38502,1.38371,1.3841,2356.45000086725
20210309,14:00:00,1.38416,1.3849,1.38369,1.38386,2507.68999997526
20210309,15:00:00,1.38389,1.38477,1.3831,1.38349,2353.10000158101
20210309,16:00:00,1.38349,1.38859,1.3827,1.38788,5650.54000198096
20210309,17:00:00,1.38789,1.38999,1.38562,1.38919,7240.55000440776
20210309,18:00:00,1.38919,1.38987,1.38828,1.38959,6224.15000269562
20210309,19:00:00,1.38961,1.38968,1.38594,1.38793,5438.35999826342
20210309,20:00:00,1.38792,1.38902,1.38715,1.3873,6322.14999511838
20210309,21:00:00,1.38731,1.38813,1.38657,1.38678,5140.19000052661
20210309,22:00:00,1.38679,1.38958,1.38666,1.38867,6046.55999156088
20210309,23:00:00,1.38868,1.39165,1.38824,1.39138,10880.4099809751
20210310,00:00:00,1.3914,1.39253,1.38807,1.38928,9184.14999719709
20210310,01:00:00,1.38927,1.38996,1.38815,1.38823,6676.92999685556
20210310,02:00:00,1.38821,1.3894,1.38808,1.38899,3540.01000513881
20210310,03:00:00,1.38899,1.39027,1.38882,1.3892,3405.55999919772
20210310,04:00:00,1.38921,1.39011,1.38895,1.38969,2885.75000163913
20210310,05:00:00,1.3897,1.39049,1.38904,1.38919,2554.0550025925
20210310,06:00:00,1.38918,1.38939,1.38841,1.38866,1266.01000062376
20210310,07:00:00,1.38819,1.38988,1.38793,1.38907,1953.15999353584
20210310,08:00:00,1.38908,1.38908,1.38833,1.3887,2206.23999556154
20210310,09:00:00,1.3887,1.38909,1.38784,1.3887,2101.48000009358
20210310,10:00:00,1.38871,1.38924,1.38681,1.38698,2803.49000018835
20210310,11:00:00,1.38699,1.38718,1.3861,1.38643,2751.83000221103
20210310,12:00:00,1.38645,1.38714,1.38619,1.38671,2406.21000366658
20210310,13:00:00,1.38674,1.38702,1.38638,1.38642,1790.33000212908
20210310,14:00:00,1.38643,1.38663,1.38474,1.38579,3044.04000055045
20210310,15:00:00,1.38575,1.38714,1.38453,1.38691,2874.38999990374
20210310,16:00:00,1.38696,1.38851,1.38651,1.38834,3734.61001136154
20210310,17:00:00,1.38833,1.39031,1.38677,1.38968,5387.13999619335
20210310,18:00:00,1.38968,1.39097,1.38857,1.39085,4242.84000302106
20210310,19:00:00,1.39084,1.3914,1.38816,1.38908,4669.11999742687
20210310,20:00:00,1.38909,1.38941,1.38655,1.38689,4508.45999969542
20210310,21:00:00,1.38691,1.38818,1.38547,1.388,4752.98000062257
20210310,22:00:00,1.38801,1.39095,1.38697,1.39062,11219.5000032634
20210310,23:00:00,1.39066,1.39343,1.39003,1.39123,11263.2999879941
20210311,00:00:00,1.39121,1.39207,1.38811,1.39029,11087.509987466
20210311,01:00:00,1.39032,1.39046,1.38799,1.38982,7780.88999377191
20210311,02:00:00,1.38981,1.39112,1.38907,1.39048,4348.64000120759
20210311,03:00:00,1.39049,1.39229,1.38958,1.39181,8566.73999916017
20210311,04:00:00,1.39178,1.39342,1.39151,1.39326,3757.96000432968
20210311,05:00:00,1.39324,1.3935,1.39261,1.39317,2694.65000209957
20210311,06:00:00,1.39318,1.39378,1.39316,1.39332,1181.10999953747
20210311,07:00:00,1.39331,1.39339,1.39223,1.39316,4216.20201318711
20210311,08:00:00,1.39312,1.39351,1.39299,1.393,580.229998774827
20210311,09:00:00,1.393,1.39356,1.39186,1.39237,1552.13999894261
20210311,10:00:00,1.39235,1.39311,1.39189,1.39262,1869.1600003317
20210311,11:00:00,1.39263,1.39403,1.3926,1.39298,1959.1699994728
20210311,12:00:00,1.39301,1.39365,1.39286,1.3933,1254.47999803722
20210311,13:00:00,1.39331,1.3937,1.39292,1.39363,1175.50999798626
20210311,14:00:00,1.39364,1.39411,1.39339,1.39387,2089.43999829143
20210311,15:00:00,1.39388,1.39438,1.39251,1.3937,2115.01000021398
20210311,16:00:00,1.39368,1.39545,1.3934,1.39419,3091.51000165939
20210311,17:00:00,1.39422,1.39519,1.39301,1.39462,6690.66999609768
20210311,18:00:00,1.39463,1.39582,1.39335,1.39497,5014.59000119567
20210311,19:00:00,1.39497,1.39636,1.39456,1.39603,3683.52999938279
20210311,20:00:00,1.39602,1.39635,1.39522,1.3959,4072.23999927193
20210311,21:00:00,1.39588,1.39618,1.39476,1.39591,5518.70000146329
20210311,22:00:00,1.39592,1.39772,1.39559,1.39655,9186.28999454528
20210311,23:00:00,1.39655,1.39726,1.39392,1.39521,9300.23999498039
20210312,00:00:00,1.39521,1.39797,1.39393,1.39678,8608.03000613302
20210312,01:00:00,1.39679,1.39804,1.39609,1.39784,5119.76000001282
20210312,02:00:00,1.39785,1.3981,1.39628,1.39696,4792.01999750733
20210312,03:00:00,1.39694,1.39868,1.39676,1.39794,5273.36999695003
20210312,04:00:00,1.39792,1.39879,1.39765,1.39871,2766.44000383466
20210312,05:00:00,1.39871,1.39956,1.39851,1.39915,2595.0700013265
20210312,06:00:00,1.39916,1.39932,1.39889,1.39891,1791.95000502467
20210312,07:00:00,1.39879,1.39918,1.39816,1.39862,492.69500198029
20210312,08:00:00,1.39863,1.39934,1.39839,1.39874,1001.60750163347
20210312,09:00:00,1.39872,1.39964,1.39845,1.39956,2427.42000444233
20210312,10:00:00,1.39954,1.40045,1.39926,1.39945,2496.43999996036
20210312,11:00:00,1.39947,1.39948,1.39729,1.39772,2672.18000134081
20210312,12:00:00,1.39773,1.39808,1.39724,1.39773,1802.84000132978
20210312,13:00:00,1.39774,1.39839,1.39737,1.39778,1402.63000295311
20210312,14:00:00,1.39782,1.39799,1.39702,1.39753,2452.42000457644
20210312,15:00:00,1.39751,1.39764,1.39448,1.39529,3499.14000142366
20210312,16:00:00,1.39528,1.39554,1.39351,1.39427,4589.0700032562
20210312,17:00:00,1.39428,1.39532,1.39309,1.39416,7232.42999584228
20210312,18:00:00,1.39415,1.39441,1.39065,1.39122,6713.08998453617
20210312,19:00:00,1.39121,1.39333,1.39091,1.39298,3982.0699968487
20210312,20:00:00,1.39299,1.39299,1.38791,1.38848,6513.28999283165
20210312,21:00:00,1.38847,1.3904,1.38832,1.38974,5450.28000130504
20210312,22:00:00,1.38974,1.39074,1.38789,1.38855,7273.67999207228
20210312,23:00:00,1.38859,1.38906,1.38632,1.38895,8665.54999665171
20210313,00:00:00,1.38897,1.38987,1.3865,1.3895,9752.28000486642
20210313,01:00:00,1.38949,1.39261,1.38852,1.3926,6628.66000076383
20210313,02:00:00,1.39258,1.39351,1.39218,1.39219,4723.24999919534
20210313,03:00:00,1.3922,1.39249,1.39145,1.39185,2700.66999751329
20210313,04:00:00,1.39186,1.39268,1.3914,1.39226,2041.86000151932
20210313,05:00:00,1.3923,1.39324,1.3919,1.39292,1750.54000427574
20210313,06:00:00,1.39293,1.39296,1.39125,1.39129,2846.59502034634
20210315,06:00:00,1.39143,1.39193,1.39122,1.39188,577.634711392224
20210315,07:00:00,1.39207,1.39253,1.3918,1.39231,2056.66999967396
20210315,08:00:00,1.39236,1.39318,1.39206,1.39294,1814.64000148326
20210315,09:00:00,1.39298,1.39412,1.3929,1.39316,2469.76999780536
20210315,10:00:00,1.39315,1.39495,1.39293,1.3936,3417.16999273747
20210315,11:00:00,1.39357,1.3941,1.39207,1.39241,2889.45999737084
20210315,12:00:00,1.39239,1.39275,1.39209,1.39264,2054.76000151783
20210315,13:00:00,1.3926,1.39295,1.39232,1.39247,1528.5400018096
20210315,14:00:00,1.39246,1.39258,1.39035,1.39072,3232.49999970198
20210315,15:00:00,1.39072,1.39192,1.38954,1.39165,2922.09999974072
20210315,16:00:00,1.39168,1.39317,1.39114,1.39195,4379.46999555826
20210315,17:00:00,1.39194,1.39474,1.39135,1.39428,6003.5100037083
20210315,18:00:00,1.39428,1.39469,1.39293,1.39337,4471.86999765038
20210315,19:00:00,1.39338,1.39356,1.39212,1.3931,3444.29000098258
20210315,20:00:00,1.39309,1.39312,1.39065,1.39083,4253.60999985784
20210315,21:00:00,1.39085,1.39295,1.39071,1.39225,5071.10999993235
20210315,22:00:00,1.39225,1.3925,1.39042,1.39074,6679.83000020683
20210315,23:00:00,1.39075,1.39124,1.3879,1.38899,7027.02000430971
20210316,00:00:00,1.38898,1.39001,1.3853,1.38623,8095.97999519855
20210316,01:00:00,1.38619,1.38925,1.38613,1.3886,5555.42999749631
20210316,02:00:00,1.38863,1.38949,1.38812,1.38929,2618.88999933749
20210316,03:00:00,1.38927,1.38984,1.38867,1.38888,2381.8199987486
20210316,04:00:00,1.38889,1.38998,1.38846,1.38997,2032.16999953985
20210316,05:00:00,1.38996,1.39043,1.38967,1.38998,1465.58000786602
20210316,06:00:00,1.38998,1.39027,1.38829,1.38992,4064.19325674884
20210316,07:00:00,1.38993,1.3903,1.38951,1.38958,631.362499244511
20210316,08:00:00,1.38959,1.38998,1.38948,1.38981,756.299999706447
20210316,09:00:00,1.38981,1.39,1.38829,1.38841,1326.81000001729
20210316,10:00:00,1.3884,1.38939,1.38821,1.38838,2282.52000121027
20210316,11:00:00,1.38838,1.38854,1.38656,1.38684,1941.86000261456
20210316,12:00:00,1.38683,1.388,1.38655,1.38709,1683.95000043511
20210316,13:00:00,1.38707,1.38759,1.38674,1.38707,1150.96000046283
20210316,14:00:00,1.38706,1.38754,1.38623,1.38719,1652.32000149041
20210316,15:00:00,1.38719,1.38726,1.38561,1.38599,2100.1899978146
20210316,16:00:00,1.38599,1.38599,1.38211,1.38265,4544.97999490052
20210316,17:00:00,1.38266,1.38413,1.3816,1.38188,4764.72000214458
20210316,18:00:00,1.38188,1.38284,1.38089,1.38278,4883.40000026673
20210316,19:00:00,1.38277,1.38472,1.38242,1.38472,3600.50000032783
20210316,20:00:00,1.38471,1.38721,1.3844,1.38619,4313.61999578774
20210316,21:00:00,1.38623,1.38823,1.38609,1.38752,7434.54999723285
20210316,22:00:00,1.38752,1.38944,1.3872,1.38786,8846.93000579625
20210316,23:00:00,1.3879,1.38958,1.38778,1.38895,4752.52000135183
20210317,00:00:00,1.38898,1.38944,1.38689,1.389,6055.34999869764
20210317,01:00:00,1.38898,1.3901,1.38835,1.38902,6437.3299902603
20210317,02:00:00,1.38901,1.39059,1.38882,1.38922,4378.48999896646
20210317,03:00:00,1.38921,1.39005,1.38878,1.38947,3242.45999947935
20210317,04:00:00,1.3895,1.39037,1.38932,1.38978,2105.12000399083
20210317,05:00:00,1.38979,1.38989,1.38896,1.38896,1314.95999954641
20210317,06:00:00,1.38887,1.38963,1.38876,1.38939,952.920000535436
20210317,07:00:00,1.38954,1.39,1.38906,1.38987,600.79999999702
20210317,08:00:00,1.38981,1.39044,1.38971,1.3902,1133.18000072241
20210317,09:00:00,1.3902,1.39051,1.38926,1.3893,2102.20000037551
20210317,10:00:00,1.38929,1.38946,1.3878,1.38858,2186.35000094026
20210317,11:00:00,1.38858,1.38876,1.38816,1.38876,1565.41000123322
20210317,12:00:00,1.38874,1.3891,1.38848,1.389,1836.4500041008
